date,c,d,act,out,pol1,pol2,pol3
2020-04-23,0.0022875246154535414,0.00011560551411862472,0.45968232795141606,0.5646330444519548,0.9996513391025961,0.9812459306705248,0.9388817976002432
2020-04-24,0.002379431367326961,0.0001199864885260497,0.5126239913653698,0.5857930331852923,0.9996513391025961,0.9443979411155321,0.9020338080452509
2020-04-25,0.002463111659999882,0.00012514726968437679,0.4676205434835503,0.40830603871648585,0.9996513391025961,0.9443979411155321,0.9020338080452509
2020-04-26,0.002529796851037268,0.00012788496033775643,0.36056504940322137,0.27703533460372987,0.9996513391025961,0.9443979411155321,0.8987665403706613
2020-04-27,0.0025884965532006303,0.00013105104268261878,0.4733280846238868,0.5423349868790027,0.9996513391025961,0.9290652218874117,0.8834338211425409
2020-04-28,0.0026552988825911555,0.00013717905195687063,0.48368210586355304,0.5831136919381994,0.9996513391025961,0.9290652218874117,0.8834338211425409
2020-04-29,0.0027255450795639967,0.00014305270366430506,0.474042259558178,0.5946114309839166,0.9996513391025961,0.9286905498120755,0.8834338211425409
2020-04-30,0.0028039005973841975,0.00014871550633608783,0.48473897459156023,0.6138717550751407,0.9996513391025961,0.9286905498120755,0.8673717648174902
2020-05-01,0.002895783921586988,0.00015268147629238923,0.576820679215851,0.6550254265993947,0.9996814802076472,0.8025930915442613,0.7551766184919135
2020-05-02,0.002972506196083404,0.00015679805270272756,0.5088642791743124,0.4628651110600998,0.9996814802076472,0.8025930915442613,0.7551766184919135
2020-05-03,0.0030404866026255153,0.00015952235611574816,0.38001627035494634,0.31627779755745933,0.9996814802076472,0.8025930915442613,0.7551766184919135
2020-05-04,0.0031008563630236323,0.00016230020849020436,0.49295519182327224,0.6088502271119919,0.9996814802076472,0.6844957840422149,0.6240910985080351
2020-05-05,0.00316614593425361,0.00016808014951512657,0.513051262879796,0.6604551460731463,0.9996814802076472,0.6844957840422149,0.6240910985080351
2020-05-06,0.003235284337086761,0.00017485743994678112,0.5246263676982087,0.6755443660495019,0.9996814802076472,0.6844957840422149,0.6240910985080351
